Individual ID	Age average
VK340	1,075
VK384	1,075
VK84	1,075
VK87	1,075
VK385	1,075
VK90	1,075
VK92	1,075
VK445	900
VK94	900
VK371	1,065
VK134	900
VK138	900
VK139	900
VK278	900
VK280	900
VK370	900
VK372	900
VK373	900
VK446	900
VK141	900
VK279	900
VK289	1,000
VK291	1,000
VK281	900
VK298	900
VK286	900
VK288	900
VK292	900
VK320	900
VK338	900
VK361	900
VK362	900
VK363	900
VK364	900
VK365	900
VK366	900
VK367	900
VK368	900
VK284	900
VK295	900
VK316	900
VK296	1,230
VK297	1,200
VK274	900
VK275	900
VK276	900
VK285	900
VK287	900
VK317	900
VK290	900
VK282	900
NEO18	9,875
NEO27	9,693
ble004	9,825
ble007	9,825
ble008	9,825
sf9	9,144
sf12	8,895
sf11	8,892
sbj001	8,771
Motala12	7,626
Motala2	7,595
Motala1	7,569
NEO679	6,907
NEO260	5,822
NEO46	5,564
ans005	5,265
ans003	5,250
ans008	5,135
ans014	5,090
ans017	5,080
NEO36	5,097
NEO39	5,074
NEO38	5,071
Gok2	4,850
NEO259	4,960
ros3	4,955
ros005	4,740
ans016	4,646
oll007	4,630
oll009	3,790
oll010	3,720
ajv54	5,080
Ajv58	4,700
Ajv70	4,700
ber2F	4,510
RISE94	4,497
ber1M	4,495
NEO44	4,386
NEO51	4,341
RISE98	4,104
RISE97	3,905
NEO220	3,986
NEO223	3,968
NEO227	3,924
NEO224	3,919
NEO228	3,841
NEO226	3,761
NEO225	3,748
NEO221	3,698
NEO261	3,895
NEO52	3,766
RISE174	1,431
VK579	1,650
VK522	1,564
VK350	1,151
VK349	1,121
VK355	1,102
VK442	1,102
VK444	1,102
VK358	1,097
VK336	1,097
VK332	1,092
VK337	1,092
VK333	1,065
VK354	964
VK334	901
VK353	901
VK335	900
VK342	900
VK343	900
VK344	900
VK345	900
VK346	900
VK348	900
VK352	900
VK380	900
VK443	900
VK533	900
VK357	897
84035	1,078
84001	989
84005	900
nuf002	900
kls001	900
kal006	900
kal009	900
stg026	1,054
grt035	996
stg021	924
stg020	900
grt036	878
gtm021	900
urm035	874
urm160	821
97002	900
VK428	975
VK429	975
VK430	975
VK431	975
VK432	975
VK433	975
VK434	975
VK438	975
VK439	975
VK455	975
VK456	975
VK457	975
VK458	975
VK459	975
VK460	975
VK461	975
VK463	975
VK56	975
VK57	975
VK58	975
VK60	975
VK63	975
VK64	975
VK232	975
VK450	975
VK452	975
VK453	975
VK454	975
VK468	975
VK469	975
VK471	975
VK473	975
VK474	975
VK475	975
VK476	975
